考試標題,科目,題型,題號,題目,選項A,選項B,選項C,選項D,答案
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,1,證券投資信託事業募集組合型基金係指投資於證券投資信託事業或外國基金管理機構所發行或經 理之受益憑證、基金股份或投資單位，下列對於組合型基金之敘述，何者正確？,得投資於其他組合型基金,每一組合型基金至少應投資三個以上子基金,投資於每個子基金最高投資上限不得超過組合型基金淨資產價值之百分之三十,投資於證券投資信託事業自己發行之基金者其管理費減三分之一,D
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,2,對於證券投資信託事業業務人員之敘述，何者正確？,主辦會計不屬於業務人員,業務人員執行職務前，應由所屬證券投資信託事業向同業公會登錄,業務人員有異動，證券投資信託事業應於異動十個營業日內，向投信投顧公會申報,應參加主管機關所舉辦之職前訓練與在職訓練,C
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,3,有關基金銷售機構從事基金之廣告、公開說明會及其他促銷活動違反法令規定，應由誰負法律責 任？,同業公會負責,基金銷售機構負責,證券投資信託事業負責,證券投資信託事業及其基金銷售機構共同負責,D
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,4,證券投資信託事業或證券投資顧問事業經營全權委託投資業務，客戶委託投資資產之淨資產價值 減損達原委託投資資產之多少比例以上時，應編製客戶資產交易紀錄及現況報告書送達客戶？,百分之十以上,百分之二十以上,百分之三十以上,百分之四十以上,B
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,5,依發行人募集與發行有價證券處理準則之規定，發行附認股權公司債時，其公司債之面額之規定 中，下列何者為正確？,限採新臺幣一萬元或為新臺幣一萬元之倍數,限採新臺幣五萬元或為新臺幣五萬元之倍數,限採新臺幣十萬元或為新臺幣十萬元之倍數,限採新臺幣一百萬元或為新臺幣一百萬元之倍數,B
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,6,證券投資信託事業之負責人與業務人員，其本人、配偶、未成年子女及被本人利用名義交易者， 買賣其所屬證券投資信託事業發行之基金，下列何項規定為不正確？,申購其所服務公司發行之開放式基金，應受最低持有期間內不得請求買回之限制，其最低持,申購其所服務公司發行之開放式基金，應受最低持有期間內不得請求買回之限制，其最低持,申購其所服務公司發行之開放式基金，應受最低持有期間內不得請求買回之限制，其最低持,不得買賣其所屬證券投資信託事業發行之封閉式基金,C
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,7,為考量相互勾稽控管及避免監守自盜之情事，有關證券投資信託事業對於證券投資信託基金之保 管，應以下列何種方式為之？,自行保管,由受委託之信託公司或銀行保管,由受委託之保險公司保管,由受委託之保全公司保管,B
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,8,證券投資信託事業或證券投資顧問事業經營全權委託投資業務，應多久定期編製客戶資產交易紀 錄及現況報告書送達客戶？,三個月,六個月,每月,一年,A
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,9,證券承銷商代銷有價證券，於承銷契約所訂定之承銷期間屆滿後，對於約定代銷之有價證券，未 能全數銷售者，其剩餘數額之有價證券之處理，下列何者為正確？,得退還發行人,應自行認購之,應退還發行人,應退還發行人一部分，自行認購一部分,B
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,10,下列關於在公司制證券交易所交易之證券經紀商或證券自營商之敘述，何者非正確？,應由證券交易所與其訂立供給使用有價證券集中交易市場之契約,供給使用有價證券集中交易市場之契約應訂立由證券自營商或證券經紀商繳存交割結算基金,供給使用有價證券集中交易市場之契約應訂立由證券自營商或證券經紀商繳付證券交易經手費,交割結算基金金額標準及繳付證券交易經手費，應由證券商同業公會決定之,C
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,11,證券投資信託事業與證券投資顧問事業之發起人、負責人及業務人員曾犯詐欺、背信或侵占罪經 受有期徒刑一年以上刑之宣告，服刑期滿未逾幾年者不得充任；其已充任者解任之？,一年,二年,五年,七年,B
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,12,下列何者非屬公司法上的負責人？,依公司法第 173 條報經主管機關許可自行召集股東會之少數股東,依公司法第 245 條聲請法院選派檢查公司業務帳目及財產情形之檢查人,有限公司之經理人但未兼任該公司董事,法院依公司法第208 條之 1 選任之臨時管理人,C
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,13,有關公司設立出資種類之敘述，依現行公司法之規定，下列敘述何者錯誤？,無限公司股東得以勞務為出資,有限公司股東得以勞務為出資,閉鎖性股份有限公司得以勞務為出資,股份有限公司發起人得以公司事業所需之財產、技術抵充之，惟不得以勞務為出資,C
